"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"73",7,"Michael Penix Jr.",ATL,"QB22","49","112","73.8","19.1","-"
"74",7,"Brandon Aiyuk",SF,"WR30","49","106","75.0","17.0","-"
"75",7,"George Pickens",PIT,"WR31","58","104","76.4","13.1","-"
"76",7,"Bryce Young",CAR,"QB23","47","111","76.9","15.2","-"
"77",7,"Joe Mixon",HOU,"RB18","56","108","79.7","12.5","-"
"78",7,"Emeka Egbuka",FA,"WR32","53","115","80.6","18.9","-"
"79",7,"Anthony Richardson",IND,"QB24","29","136","82.2","27.0","-"
"80",7,"Chuba Hubbard",CAR,"RB19","57","109","82.3","15.8","-"
"81",7,"Tyler Warren",FA,"TE6","52","137","82.5","22.7","-"
"82",7,"Mike Evans",TB,"WR33","44","105","83.2","19.1","-"
"83",8,"Jerry Jeudy",CLE,"WR34","67","119","84.5","14.7","-"
"84",8,"David Montgomery",DET,"RB20","58","111","85.4","13.1","-"
"85",8,"David Njoku",CLE,"TE7","69","117","86.7","14.7","-"
"86",8,"Jayden Reed",GB,"WR35","73","131","88.8","14.6","-"
"87",8,"Shedeur Sanders",FA,"QB25","54","157","89.2","22.1","-"
"88",8,"Davante Adams",LAR,"WR36","45","122","92.6","25.3","-"
"89",8,"Alvin Kamara",NO,"RB21","76","118","92.8","13.4","-"
"90",8,"Dalton Kincaid",BUF,"TE8","74","111","92.9","11.4","-"
"91",8,"Chris Godwin",TB,"WR37","66","121","93.9","13.7","-"
"92",8,"Courtland Sutton",DEN,"WR38","48","126","94.7","22.6","-"
"93",8,"Mark Andrews",BAL,"TE9","63","152","94.8","28.7","-"
"94",8,"Sam Darnold",SEA,"QB26","50","148","95.2","26.7","-"
"95",8,"Isiah Pacheco",KC,"RB22","68","144","95.8","20.4","-"
"96",8,"Luther Burden III",FA,"WR39","55","134","96.4","24.1","-"
"97",8,"Tyrone Tracy Jr.",NYG,"RB23","73","121","96.6","14.0","-"
"98",8,"Khalil Shakir",BUF,"WR40","71","116","96.9","13.9","-"
"99",8,"Quinshon Judkins",FA,"RB24","47","186","100.4","44.7","-"
"100",8,"Tucker Kraft",GB,"TE10","65","208","100.6","35.3","-"
"101",8,"Matthew Golden",FA,"WR41","79","115","100.8","10.3","-"
"102",8,"Josh Downs",IND,"WR42","80","124","101.8","13.5","-"
"103",8,"Brian Robinson Jr.",WAS,"RB25","69","126","101.9","13.7","-"
"104",8,"Matthew Stafford",LAR,"QB27","60","144","103.3","22.8","-"
"105",8,"Justin Fields",NYJ,"QB28","61","179","104.0","34.2","-"
"106",8,"Evan Engram",DEN,"TE11","77","135","104.4","16.6","-"
"107",8,"Geno Smith",LV,"QB29","70","145","104.6","22.8","-"
"108",8,"Najee Harris",LAC,"RB26","62","148","104.8","17.3","-"
"109",8,"Travis Hunter",FA,"WR43","59","154","105.0","33.6","-"
"110",8,"Colston Loveland",FA,"TE12","57","140","105.3","21.7","-"
"111",8,"Jaxson Dart",FA,"QB30","85","168","105.3","23.2","-"
"112",8,"Jalen McMillan",TB,"WR44","62","132","105.7","16.7","-"
"113",8,"Tony Pollard",TEN,"RB27","80","131","106.4","12.6","-"
"114",8,"Michael Pittman Jr.",IND,"WR45","75","138","106.9","16.7","-"
"115",9,"James Conner",ARI,"RB28","78","147","110.4","20.6","-"
"116",9,"Ricky Pearsall",SF,"WR46","76","165","110.8","24.3","-"
"117",9,"Deebo Samuel Sr.",WAS,"WR47","90","166","113.1","19.3","-"
"118",9,"Calvin Ridley",TEN,"WR48","88","138","115.8","14.8","-"
"119",9,"Travis Etienne Jr.",JAC,"RB29","69","151","115.8","23.0","-"
"120",9,"Rhamondre Stevenson",NE,"RB30","83","144","120.1","18.3","-"
"121",9,"Jonnu Smith",MIA,"TE13","73","158","120.4","25.8","-"
"122",9,"Kyle Pitts",ATL,"TE14","87","170","120.9","21.1","-"
"123",9,"Jauan Jennings",SF,"WR49","86","144","122.3","16.1","-"
"124",9,"Jakobi Meyers",LV,"WR50","99","145","122.5","12.7","-"
"125",9,"Travis Kelce",KC,"TE15","84","156","122.7","24.2","-"
"126",9,"Cooper Kupp",SEA,"WR51","107","164","127.8","17.2","-"
"127",9,"Keon Coleman",BUF,"WR52","92","184","128.1","23.0","-"
"128",9,"Aaron Jones Sr.",MIN,"RB31","100","169","128.4","21.9","-"
"129",9,"D'Andre Swift",CHI,"RB32","86","150","129.7","20.0","-"
"130",9,"Stefon Diggs",NE,"WR53","104","168","131.3","16.8","-"
"131",9,"Jayden Higgins",FA,"WR54","95","167","132.7","20.6","-"
"132",9,"Darnell Mooney",ATL,"WR55","109","178","132.8","17.1","-"
"133",9,"Jaylen Warren",PIT,"RB33","83","173","136.1","25.4","-"
"134",9,"Zach Charbonnet",SEA,"RB34","101","164","136.6","18.6","-"
"135",9,"Rashid Shaheed",NO,"WR56","115","177","136.8","16.3","-"
"136",9,"Dallas Goedert",PHI,"TE16","122","166","137.2","13.4","-"
"137",10,"Christian Kirk",HOU,"WR57","105","170","138.3","18.2","-"
"138",10,"Tre Harris",FA,"WR58","83","217","138.5","36.4","-"
"139",10,"Jake Ferguson",DAL,"TE17","122","179","138.7","14.7","-"
"140",10,"Kaleb Johnson",FA,"RB35","66","271","143.8","70.7","-"
"141",10,"Tank Bigsby",JAC,"RB36","108","187","144.9","23.5","-"
"142",10,"Rachaad White",TB,"RB37","98","178","145.3","18.6","-"
"143",10,"Jaylin Noel",FA,"WR59","97","211","146.3","37.0","-"
"144",10,"Trey Benson",ARI,"RB38","91","201","147.8","32.9","-"
"145",10,"Pat Freiermuth",PIT,"TE18","133","187","148.8","15.3","-"
"146",10,"Jalen Milroe",FA,"QB31","137","166","151.1","11.0","-"
"147",10,"Romeo Doubs",GB,"WR60","123","190","151.8","18.6","-"
"148",10,"Cole Kmet",CHI,"TE19","123","210","152.9","22.7","-"
"149",10,"Isaiah Likely",BAL,"TE20","111","225","153.6","31.9","-"
"150",10,"Elic Ayomanor",FA,"WR61","112","243","155.5","38.5","-"
"151",10,"Tyjae Spears",TEN,"RB39","121","177","156.3","18.0","-"
"152",10,"Rashod Bateman",BAL,"WR62","121","215","156.9","23.2","-"
"153",10,"Tank Dell",HOU,"WR63","118","229","158.5","34.2","-"
"154",10,"Marvin Mims Jr.",DEN,"WR64","121","219","160.2","24.8","-"
"155",10,"Xavier Legette",CAR,"WR65","135","192","160.3","14.3","-"
"156",10,"Dylan Sampson",FA,"RB40","121","223","161.9","25.9","-"
"157",10,"Blake Corum",LAR,"RB41","115","229","162.1","26.6","-"
"158",10,"Russell Wilson",NYG,"QB32","94","157","127.5","18.4","-"
"159",10,"Quentin Johnston",LAC,"WR66","126","216","163.2","24.9","-"
"160",10,"Bhayshul Tuten",FA,"RB42","120","220","163.6","30.8","-"
"161",10,"Cam Skattebo",FA,"RB43","95","257","164.1","45.7","-"
"162",10,"Cade Otton",TB,"TE21","127","233","164.6","24.1","-"
"163",10,"Devin Neal",FA,"RB44","94","247","166.3","44.0","-"
"164",10,"Cedric Tillman",CLE,"WR67","130","218","166.9","24.1","-"
"165",10,"Marquise Brown",KC,"WR68","131","196","167.3","19.0","-"
"166",10,"Rico Dowdle",CAR,"RB45","125","215","168.1","26.2","-"
"167",10,"Javonte Williams",DAL,"RB46","131","209","168.7","22.6","-"
"168",10,"Amari Cooper",FA,"WR69","119","247","170.9","36.2","-"
"169",10,"Keenan Allen",FA,"WR70","116","246","172.7","34.3","-"
"170",10,"Jalen Coker",CAR,"WR71","143","205","173.2","17.1","-"
"171",11,"Elijah Arroyo",FA,"TE22","150","206","173.7","17.8","-"
"172",11,"Damien Martinez",FA,"RB47","144","222","175.2","27.1","-"
"173",11,"Ray Davis",BUF,"RB48","124","207","175.9","20.5","-"
"174",11,"DJ Giddens",FA,"RB49","113","252","176.0","51.6","-"
"175",11,"Derek Carr",NO,"QB33","87","163","130.5","25.6","-"
"176",11,"Hunter Henry",NE,"TE23","135","229","176.8","31.1","-"
"177",11,"Adonai Mitchell",IND,"WR72","140","212","177.1","19.6","-"
"178",11,"Isaiah Bond",FA,"WR73","130","274","177.7","42.3","-"
"179",11,"Jordan Mason",MIN,"RB50","132","255","177.9","37.2","-"
"180",11,"J.K. Dobbins",FA,"RB51","105","234","160.0","34.4","-"
"181",11,"Dontayvion Wicks",GB,"WR74","155","208","179.7","13.2","-"
"182",11,"Jaylen Wright",MIA,"RB52","134","238","179.9","24.3","-"
"183",11,"Christian Watson",GB,"WR75","135","227","179.9","29.1","-"
"184",11,"Wan'Dale Robinson",NYG,"WR76","129","225","180.4","23.5","-"
"185",11,"Ja'Tavion Sanders",CAR,"TE24","146","236","182.3","23.4","-"
"186",11,"Jerome Ford",CLE,"RB53","129","236","183.1","27.6","-"
"187",11,"Harold Fannin Jr.",FA,"TE25","130","253","183.4","37.2","-"
"188",11,"Isaac Guerendo",SF,"RB54","136","295","186.8","38.1","-"
"189",11,"Jalen Royals",FA,"WR77","137","234","188.3","30.9","-"
"190",11,"Tyler Allgeier",ATL,"RB55","153","244","188.7","27.3","-"
"191",11,"DeAndre Hopkins",BAL,"WR78","137","244","189.4","29.3","-"
"192",11,"Dalton Schultz",HOU,"TE26","165","229","190.6","19.2","-"
"193",11,"Braelon Allen",NYJ,"RB56","142","254","192.3","28.5","-"
"194",11,"Joshua Palmer",BUF,"WR79","150","242","192.7","25.7","-"
"195",11,"RJ Harvey",FA,"RB57","99","268","194.7","53.7","-"
"196",11,"DeMario Douglas",NE,"WR80","165","226","195.1","16.2","-"
"197",11,"Jack Bech",FA,"WR81","155","263","196.4","32.5","-"
"198",11,"Xavier Restrepo",FA,"WR82","151","259","196.7","26.4","-"
"199",11,"Adam Thielen",CAR,"WR83","152","264","202.2","34.9","-"
"200",11,"Ollie Gordon II",FA,"RB58","156","246","202.5","29.7","-"
"201",11,"Mike Gesicki",CIN,"TE27","154","264","203.8","28.9","-"
"202",11,"Alec Pierce",IND,"WR84","163","250","204.8","27.9","-"
"203",11,"Ben Sinnott",WAS,"TE28","167","264","201.6","29.8","-"
"204",11,"Chig Okonkwo",TEN,"TE29","177","280","209.7","27.6","-"
"205",11,"Michael Wilson",ARI,"WR85","171","251","202.3","24.0","-"
"206",11,"Zach Ertz",WAS,"TE30","147","266","202.6","34.0","-"
"207",11,"Daniel Jones",IND,"QB34","104","235","161.4","29.7","-"
"208",11,"Jonathon Brooks",CAR,"RB59","133","221","175.5","26.4","-"
"209",11,"Diontae Johnson",FA,"WR86","152","291","197.9","39.5","-"
"210",11,"Aaron Rodgers",FA,"QB35","118","236","152.3","30.9","-"
"211",11,"Kendre Miller",NO,"RB60","137","249","206.7","34.7","-"
"212",11,"Theo Johnson",NYG,"TE31","154","272","207.8","28.1","-"
"213",12,"Audric Estime",DEN,"RB61","149","245","210.5","24.8","-"
"214",12,"Nick Chubb",FA,"RB62","142","246","203.8","35.2","-"
"215",12,"Juwan Johnson",NO,"TE32","170","277","219.0","25.4","-"
"216",12,"MarShawn Lloyd",GB,"RB63","127","251","212.5","27.8","-"
"217",12,"Tez Johnson",FA,"WR87","180","301","222.1","29.8","-"
"218",12,"Noah Fant",SEA,"TE33","182","277","217.2","27.8","-"
"219",12,"Roman Wilson",PIT,"WR88","179","323","224.7","40.0","-"
"220",12,"Roschon Johnson",CHI,"RB64","162","254","218.8","22.1","-"
"221",12,"Andrei Iosivas",CIN,"WR89","173","266","219.0","27.2","-"
"222",12,"Troy Franklin",DEN,"WR90","173","231","205.2","18.3","-"
"223",12,"Jaleel McLaughlin",DEN,"RB65","130","261","205.3","31.6","-"
"224",12,"Jalen Tolbert",DAL,"WR91","199","270","227.4","18.1","-"
"225",12,"Austin Ekeler",WAS,"RB66","158","282","216.9","36.2","-"
"226",12,"Elijah Moore",FA,"WR92","180","252","217.9","18.1","-"
"227",12,"Parker Washington",JAC,"WR93","176","310","227.0","33.6","-"
"228",12,"Gabe Davis",JAC,"WR94","198","304","234.0","26.1","-"
"229",12,"Malik Washington",MIA,"WR95","166","295","223.8","28.1","-"
"230",12,"Noah Gray",KC,"TE34","191","275","218.1","25.9","-"
"231",12,"Michael Mayer",LV,"TE35","162","278","220.7","29.2","-"
"232",12,"Antonio Gibson",NE,"RB67","188","266","225.5","19.5","-"
"233",12,"Darius Slayton",NYG,"WR96","214","283","232.8","15.5","-"
"234",12,"Devin Singletary",NYG,"RB68","181","270","227.0","22.5","-"
"235",12,"Brandin Cooks",NO,"WR97","187","317","235.3","33.0","-"
"236",12,"Kirk Cousins",ATL,"QB36","130","222","160.8","29.0","-"
"237",12,"Jordan Whittington",LAR,"WR98","177","311","225.1","30.6","-"
"238",12,"Luke McCaffrey",WAS,"WR99","203","307","240.1","26.4","-"
"239",12,"Devaughn Vele",DEN,"WR100","195","257","220.2","22.2","-"
"240",12,"Brenton Strange",JAC,"TE36","133","311","211.4","51.3","-"
"241",12,"Ja'Lynn Polk",NE,"WR101","178","292","231.7","34.4","-"
"242",12,"Tyler Lockett",FA,"WR102","207","313","245.9","23.5","-"
"243",12,"Zack Moss",CIN,"RB69","158","305","239.9","42.0","-"
"244",12,"Kayshon Boutte",NE,"WR103","175","284","216.4","29.5","-"
"245",12,"Kimani Vidal",LAC,"RB70","207","294","244.1","26.3","-"
"246",12,"Raheem Mostert",LV,"RB71","182","280","244.6","26.4","-"
"247",12,"Kareem Hunt",KC,"RB72","184","273","245.3","23.6","-"
"248",12,"Khalil Herbert",IND,"RB73","209","322","246.3","29.2","-"
"249",12,"Taysom Hill",NO,"TE37","157","309","225.8","50.4","-"
